
2024/05/03 (21:49:06) | ===> btop++ v.1.3.2
2024/05/03 (21:49:06) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/03 (21:49:50) | ===> btop++ v.1.3.2
2024/05/03 (21:49:50) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/03 (21:54:17) | ===> btop++ v.1.3.2
2024/05/03 (21:54:17) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/03 (21:54:33) | ===> btop++ v.1.3.2
2024/05/03 (21:54:33) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/03 (21:56:45) | ===> btop++ v.1.3.2
2024/05/03 (21:56:45) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/03 (22:04:47) | ===> btop++ v.1.3.2
2024/05/03 (22:04:47) | WARNING: Failed to set locale UTF-8 continuing anyway.
